strain,stress
0.1040,288.92
0.1041,287.56
0.1041,287.05
0.1042,288.99
0.1042,288.92
0.1042,289.43
0.1042,289.89
0.1042,280.20
0.1041,284.14
0.1041,287.09
0.1042,284.02
0.1042,279.67
0.1041,284.73
0.1041,287.92
0.1042,284.71
0.1041,287.48
0.1042,284.92
0.1041,283.12
0.1041,287.33
0.1042,284.80
0.1042,283.28
0.1041,286.70
0.1042,284.68
0.1041,281.87
0.1042,285.29
0.1042,288.79
0.1042,283.34
0.1041,285.80
0.1042,290.32
0.1057,281.59
0.1070,285.70
0.1071,289.17
0.1072,289.37
0.1093,289.32
0.1094,287.34
0.1110,284.43
0.1125,288.95
0.1125,292.14
0.1127,289.82
0.1129,289.07
0.1130,290.60
0.1131,284.63
0.1130,288.86
0.1130,291.53
0.1131,288.30
0.1131,291.35
0.1132,283.79
0.1131,287.22
0.1131,291.03
0.1131,289.01
0.1131,288.45
0.1131,291.59
0.1131,292.47
0.1131,292.68
0.1132,285.00
0.1131,288.38
0.1131,292.20
0.1132,289.20
0.1131,287.82
0.1131,290.96
0.1132,288.80
0.1131,286.12
0.1131,290.08
0.1131,292.35
0.1132,291.38
0.1131,289.02
0.1131,292.08
0.1132,291.77
0.1132,293.04
0.1132,293.68
0.1132,294.87
0.1132,293.96
0.1133,290.37
0.1133,288.74
0.1132,292.68
0.1132,295.47
0.1132,289.52
0.1132,292.44
0.1132,295.66
0.1133,286.88
0.1132,291.06
0.1132,293.01
0.1133,292.40
0.1132,289.40
0.1132,293.72
0.1132,297.18
0.1132,292.98
0.1132,295.68
0.1133,294.22
0.1132,295.88
0.1132,295.53
0.1132,295.61
0.1133,295.38
0.1132,294.85
0.1133,296.80
0.1133,296.09
0.1133,291.82
0.1143,287.54
0.1151,291.88
0.1152,295.23
0.1152,298.31
0.1154,291.37
0.1155,295.32
0.1164,294.35
0.1172,294.30
0.1173,297.19
0.1175,286.77
0.1175,290.28
0.1176,294.07
0.1176,297.16
0.1176,290.73
0.1176,293.92
0.1176,297.79
0.1177,288.53
0.1176,292.85
0.1176,295.84
0.1176,299.79
0.1177,289.28
0.1176,293.60
0.1176,296.59
0.1176,300.43
0.1177,288.93
0.1176,293.06
0.1176,296.89
0.1176,299.76
0.1177,288.74
0.1176,292.81
0.1176,295.96
0.1177,292.36
0.1176,295.72
0.1176,298.48
0.1176,295.58
0.1176,293.29
0.1176,296.40
0.1176,300.39
0.1177,292.00
0.1176,294.97
0.1176,299.00
0.1177,290.40
0.1176,293.25
0.1176,297.92
0.1177,294.67
0.1176,291.89
0.1176,295.17
0.1176,299.01
0.1177,292.40
0.1176,292.98
0.1176,296.97
0.1176,300.56
0.1177,289.77
0.1176,293.97
0.1176,297.60
0.1176,300.87
0.1180,291.77
0.1182,295.98
0.1182,299.27
0.1200,292.47
0.1216,295.32
0.1216,299.33
0.1217,300.27
0.1223,295.46
0.1223,298.64
0.1224,302.58
0.1225,293.35
0.1225,297.99
0.1225,301.01
0.1225,293.01
0.1225,296.19
0.1225,300.25
0.1226,298.91
0.1225,298.68
0.1225,302.09
0.1226,295.36
0.1225,298.69
0.1225,301.71
0.1226,299.32
0.1225,296.81
0.1226,299.63
0.1226,303.00
0.1226,296.60
0.1226,300.75
0.1226,303.64
0.1226,302.13
0.1226,302.97
0.1226,301.72
0.1226,303.16
0.1226,305.14
0.1227,303.31
0.1226,304.14
0.1226,304.83
0.1226,305.15
0.1227,305.84
0.1227,304.40
0.1227,304.52
0.1229,291.34
0.1226,294.80
0.1226,298.97
0.1227,301.15
0.1228,300.21
0.1227,296.94
0.1227,301.90
0.1227,304.75
0.1227,297.20
0.1227,300.30
0.1226,304.31
0.1226,298.77
0.1226,297.24
0.1226,300.17
0.1226,303.38
0.1227,298.15
0.1226,301.98
0.1227,304.96
0.1227,296.37
0.1226,299.61
0.1226,303.58
0.1227,296.58
0.1226,300.49
0.1226,303.70
0.1227,294.58
0.1226,297.77
0.1226,302.06
0.1227,304.67
0.1226,302.74
0.1227,300.64
0.1250,299.61
0.1250,302.12
0.1251,306.79
0.1266,297.52
0.1279,302.20
0.1280,305.49
0.1281,302.63
0.1284,300.04
0.1284,304.28
0.1284,307.56
0.1285,302.93
0.1285,306.09
0.1286,297.44
0.1285,300.52
0.1285,304.84
0.1286,302.37
0.1285,301.12
0.1285,304.23
0.1286,300.19
0.1285,303.23
0.1286,301.73
0.1285,299.60
0.1285,303.96
0.1286,307.08
0.1287,297.20
0.1286,300.62
0.1286,304.77
0.1285,307.68
0.1286,297.37
0.1285,300.69
0.1285,305.00
0.1286,302.68
0.1285,303.51
0.1285,306.71
0.1286,298.42
0.1285,301.58
0.1285,305.81
0.1286,295.31
0.1285,300.00
0.1285,302.47
0.1285,306.99
0.1286,301.48
0.1285,305.61
0.1285,303.92
0.1285,303.52
0.1286,300.71
0.1285,297.91
0.1285,301.98
0.1285,305.82
0.1286,301.51
0.1285,305.17
0.1286,307.20
0.1286,309.34
0.1286,305.44
0.1286,302.10
0.1286,299.58
0.1286,304.01
0.1286,307.05
0.1286,310.52
0.1286,304.40
0.1286,308.47
0.1287,305.46
0.1286,302.72
0.1286,306.85
0.1286,310.60
0.1287,300.98
0.1286,305.20
0.1286,308.35
0.1287,302.99
0.1286,307.17
0.1286,310.85
0.1286,308.11
0.1286,308.15
0.1286,308.71
0.1286,309.95
0.1286,301.28
0.1286,304.74
0.1286,308.51
0.1287,305.51
0.1287,304.12
0.1286,308.84
0.1287,306.17
0.1286,303.38
0.1287,306.87
0.1286,309.76
0.1287,308.57
0.1286,308.48
